Kaen	queen bee	queen bee	Japanese	2019	Rap	jpop	motivation	chill	sythesizer	5	7	7	9	10	7	6
Kathleen	Catfish and the Bottlemen	Catfish and the Bottlemen	English	2014	Rock	Indie	Problems	chill	Guitar	8	6	6	3	5	5	6
Kill You 	Eminem	Eminem	English	2000	Hip Hop	Rap	null	Mad	Drums	3	8	3	2	6	1	8
Kiss Off	Violent Femmes	Violent Femmes	English	1982	folk	punk	betrayed	upset	guitar 	9	8	6	4	7	5	7
Kuchizuke Daimond	weaver	weaver	Japanese	2016	pop	jpop	love	sad	piano	8	8	7	8	8	6	6
Leave Me Alone	FIDLAR	FIDLAR	English	2017	rock	punk	isolation	depressed	guitar 	7	6	3	2	7	3	7
Legends	Juice WRLD	Juice WRLD	english	2018	hip-hop	rap	dying too soon	mellow	synthesizer	9	10	7	8	9	0	9
Let You Love Me MÖWE Remix	Rita Ora	Rita Ora	English	2018	Pop	Electronic	Opening up to someone	Chill	Synthesizer	6	5	6	6	6	6	7
Life Goes On	Lil Baby, Lil Uzi Vert, Gunna, Quay Global	Lil Baby, LIl Uzi Vert, Gunna	English 	2018	hip-hop	Rap	braggadocious	upbeat	synthesizer	5	4	6	7	8	7	4
London	Mokita	Mokita	English	2018	Pop	Electronic	Heartbroken	Sad	Sythesizer	5	7	6	7	7	5	5
Long Way 2 Go	Cassie 	Cassie 	English	2006	r&b 	soul	too good for you	empowering 	synthesizer	6	8	7	7	8	5	5
Love love the way you lie	Eminem, Rihanna	Eminem, Rihanna	English	2018	hip-hop	rap	Mistakes	chill	synthesizer	4	8	6	7	7	0	6
Love youz	J.cole	J.cole	English	2014	hip-hop	rap	self respect 	sad	synthesizer	8	10	9	9	9	0	9
Lucid Dreams	Juice WRLD	Juice WRLD	english	2017	hip-hop	emo rap	nighmares	upbeat	synthesizer	10	9	7	7	10	8	9
Magic	Matthew Harui	Yung Gravy	English	2019	hip-hop		braggadocious	uplifting	vocals	7	5	3	10	8	4	5
Mars	Maxo Kream, Lil Uzi Vert	Maxo Kream, Lil Uzi Vert	English	2017	Hip Hop	rap	lifestyle	energetic	piano	6	7	8	8	7	5	5
Maze	Boi-1da, Juice Wrld	Juice Wrld	English	2019	hip-hop		depression	light-hearted	synthesizer	5	6	6	7	8	3	3
Me, Myself and I 	Beyonce	Beyonce 	English	2003	pop	null	independence 	empowering	synthesizer	9	10	10	9	9	1	3
Memories	Thutmose	Thutmose	English	2018	hip-hop	rap	love	chill	synthesizer	7	6	6	9	8	0	7
Middle child 	J.cole	J.cole	English	2019	hip-hop	rap	self conscious	chill	synthesizer	6	8	6	6	7	0	7
Miwa change	miwa, Fumiko Orikasa	miwa	Japanese	2011	rock/pop	jpop/jrock 	finding yourself	sad	Null	8	6	9	7	7	6	8
Moment 4 life	Nicki MInaj	Nicki MInaj, Drake	English	2010	hip-hop 	rap	self confidence 	hype	synthesizer	7	9	9	8	9	2	5
Mona Lisa	Lil Wayne, Kendrick Lamar	Lil Wayne, Kendrick Lamar	English	2018	hip Hop	rap	storytelling	exciting	piano	6	8	7	9	7	4	6
My Blood	Tyler Joseph (Twenty One Pilots)	Tyler Joseph (Twenty One Pilots)	English	2018	pop	alternative	family together	inspiring	drum set	9	8	9	8	9	6	5
N.Y State of mind	Nas	Nas	English	1992	hip hop	rap	influentual	up beat	vocals	9	9	8	8	10	5	5
Need Someone	Ollie	Ollie	English	2018	Hip hop	Rap	Heart Broken	sad	drum	6	9	9	9	9	4	4
Needy	Ariana Grande, Tayla Parx, Tommy Brown, Victoria Monet	Ariana Grande	English	2019	Pop	null	Relationship Anxieties	Helplessness	Piano/ Synthesizer	7	9	10	6	9	2	3
New Patek	Dolan Beats, Lil Uzi Vert	Lil Uzi Vert	English	2018	hip-hop	Trap	braggadocious	upbeat	piano	5	6	6	8	10	10	8
ODD FUTURE	katsuya, TAKUYA	Uverworld	Japanese	2018	Rock	JRock	Escaping Darkness	Excited	Synthesizer	10	9	6	9	9	7	9
Old Town Road	Montero Hill, Trent Renzor, Atticus Ross	Lil Nas X	English	2019	Country	Trap	Independence	melow	guitar	5	4	7	5	7	7	4
Once in a Lifetime	Talking Heads	Talking Heads	English	1981	rock	soft rock	depression	love	guitar	7	7	5	10	10	6	9
Overwhelming	Matt OX	Matt OX	English	2017	Hip Hop	rap	flexing	energetic	synthesizer	6	6	6	8	7	7	5
Paris	Sabrina Carpenter	Sabrina Carpenter	English	2018	Pop	null	Love	Calm	Guitar	9	6	6	7	9	6	5
Passionfruit	Drake, Nana Rogues															
Peace Sign	Kenshi Yonezu	Kenshi Yonezu, Youhei Makabe, Yu Suto, Masaki Hori, Ichiyo Izawa	Japanese	2017	Rock	JRock	Self Strength	Uplifiting	Guitar	10	9	7	9	8	7	9
Poison	Elliott Straite, Kwamé Holland	Bell Biv DeVoe	english	1989	Contemporary R&B	new jack swing/hip hop	poisonous girls	upbeat	timbales	9	9	7	8	10	9	9
Popstars	Madison Beer, (G)-I-DLE, Jaira Burns	KDA	Korean	2018	KPOP	Rap	Power	uplifting	sythesizer	5	9	9	5	6	10	8
Psycho Killer	Talking Heads	Talking Heads	English	1997	rock	new wave	murder	troubled	bass	8	5	6	2	7	5	8
Put a Date on It	Lil Baby, Yo Gotti	Lil Baby, Yo Gotti	English 	2019	hip-hop	Trap	 braggadocious	upbeat	synthesizer	5	5	7	6	7	3	4
Radioactive	Dan Reynolds	Dan Reynolds	English	2012	rock	alt rock	apocalypse	exciting	drum	7	9	8	8	8	6	6
Rock Your Body	Chris Bronw	Chris Brown	English 	2017	R&B	Soul 	Dancing	Smooth	synthesizer	3	4	7	8	7	9	4
Rocket Man	Elton John, Bernie Taupin	Elton john	English	1972	rock	soft rock	family love	uplifting	drum	9	8	7	7	6	9	5
Romeo & Juliet	Trippie Redd	Trippie Redd	english	2017	hip-hop	rap	love	love	synthesizer	7	10	9	7	8	0	4
Running in the 90s	Max Coveri	Max Coveri	English	1998	Eurobeat	90s	Racing	Fast	sythesizer	4	7	6	7	9	8	10
Sad	Kodie Shane, Lil Yachty	Kodie Shane, Lil Yachty	English	2016	hip Hop	rap	isolation	sad	snares	5	6	7	8	8	3	3
Sakura	Che'Nelle	Che'Nelle	Japanese	2011	pop	jpop	Promise	smooth	sythesizer	5	8	9	9	8	4	4
Sanguine Paradise	Lil Uzi Vert	Lil Uzi Vert	English	2019	hip-hop		perseverance	exciting	Piano	5	5	6	9	8	7	7
share the world	TVXQ	TVXQ	Japanese	2009	pop	jpop	understanding	sad/happy	synthesizer	8	7	7	7	9	6	6
Shed you	Tessa Thompson/ Moses Sumney	Tessa Thompson/ Moses Sumney	English 	2015	R&B	Soul 	Love	Chill	synthesizer	6	4	4	5	3	3	2
Sola	Jessie Reyez 	Jessie Reyez 	English 	2018	R&B	Soul 	moving on	Sad	Guitar 	6	7	10	8	7	3	3
Start It Over	NOTD	NOTD, CVBZ, SHY Martin	English	2018	Dance	Electronic	Missing someone	Reminiscent	Synthesizer	6	6	4	5	5	6	6
Sucker	The Jonas Brothers, Tedder, Bells, Dukes	The Jonas Brothers	English	2019	pop	alternative	loving someone	happy	guitar	8	6	7	8	9	8	8
Sweater Weather	The Neighborhood	The Neighborhood	English	2011	Indie Pop	Indie Rock	love	sad	drum	10	9	9	9	10	5	7
Take Me Out	Franz Ferdinand	Franz Ferdinand	English	2003	rock	alternative	loneliness	fateful	guitar	8	5	4	3	5	4	5
The Break Up	Baker, Patterson, Allen, Wells, Cook	Coleson Baker (MGK)	English	2017	hip-hop	rap/trap	breaking up	chill	synthesizer	6	6	5	6	7	6	6
The Reaper	The Atomix, A Boogie wit da Hoodie	A Boogie wit da Hoodie	English	2018	hip-hop	Trap	lifestyle	mellow	guitar	5	7	7	9	9	5	5
The Story of O.J.	Jay-Z	Jay-Z	English	2017	hip-hop	rap	money smart	chill	synthesizer	7	8	8	7	4	0	6
The Worst	Jhene Aiko	Jhene Aiko 	English 	2013	R&B	R&B	Relationships	Smooth	Piano	4	7	6	6	6	8	3
Thriller	Michael Jackson	Michael Jackson	English	1982	pop	Pop 	monsters	energetic	synthesizer	9	9	9	9	9	10	9
